DEBUG | appLogger | 2023-03-29 19:56:23,617 | 14 | Введены два цисла
DEBUG | appLogger | 2023-03-29 20:58:47,823 | 14 | Введены два цисла
DEBUG | appLogger | 2023-03-29 21:00:24,802 | 14 | Введены два цисла
DEBUG | appLogger | 2023-03-29 21:01:03,475 | 14 | Введены два цисла
DEBUG | appLogger | 2023-03-29 21:01:43,423 | 14 | Введены два цисла
DEBUG | appLogger | 2023-03-29 21:01:44,263 | 27 | Конец операции
DEBUG | appLogger | 2023-03-30 13:39:00,526 | 14 | Введены два цисла
DEBUG | appLogger | 2023-03-30 14:21:53,127 | 14 | Введены два цисла
DEBUG | appLogger | 2023-03-30 15:22:50,790 | 14 | Введены два цисла
DEBUG | appLogger | 2023-03-30 15:22:52,614 | 27 | Конец операции
DEBUG | appLogger | 2023-03-30 15:23:32,470 | 14 | Введены два цисла
DEBUG | appLogger | 2023-03-30 15:23:34,482 | 27 | Конец операции
DEBUG | appLogger | 2023-03-30 15:24:31,001 | 14 | Введены два цисла
DEBUG | appLogger | 2023-03-30 15:24:36,251 | 27 | Конец операции
DEBUG | appLogger | 2023-03-30 15:25:24,840 | 14 | Введены два цисла
DEBUG | appLogger | 2023-03-30 15:25:28,222 | 27 | Конец операции
DEBUG | appLogger | 2023-03-30 15:26:22,053 | 14 | Введены два цисла
DEBUG | appLogger | 2023-03-30 15:26:24,813 | 27 | Конец операции
DEBUG | appLogger | 2023-04-02 14:20:03,264 | 14 | Введены два цисла
DEBUG | appLogger | 2023-04-02 14:20:04,313 | 27 | Конец операции
